Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc YForce X	Force Y
1.055356	0.01286771	-0.7975628	0	0	0	0	0	0
1.077511	0.01286771	-0.7975628	0	0	0	0	0	0
1.09425	0.01286771	-0.7975628	0	0	0	0	0	0
1.110648	0.01286771	-0.7975628	0	0	0	0	0	0
1.127215	0.01286771	-0.7975628	0	0	0	0	0	0
1.143786	0.01286771	-0.7975628	0	0	0	0	0	0
1.160349	0.01286771	-0.7975628	0	0	0	0	0	0
1.176914	0.01286771	-0.7975628	0	0	0	0	0	0
1.193805	0.01286771	-0.7975628	0	0	0	0	0	0
1.210326	0.01286771	-0.7975628	0	0	0	0	0	0
1.227339	0.01286771	-0.7975628	0	0	0	0	0	0
1.243182	0.01286771	-0.7975628	0	0	0	0	0	0
1.259887	0.01286771	-0.7975628	0	0	0	0	0	0
1.276314	0.01286771	-0.7975628	0	0	0	0	0	0
1.292882	0.01286771	-0.7975628	0	0	0	0	0	0
1.309902	0.01286771	-0.7975628	0	0	0	0	0	0
1.326015	0.01286771	-0.7975628	0	0	0	0	0	0
1.342586	0.01286771	-0.7975628	0	0	0	0	0	0
1.359925	0.01286771	-0.7975628	0	0	0	0	0	0
1.391588	0.01286771	-0.7975628	0	0	0	0	0	0
1.408157	0.01286771	-0.7975628	0	0	0	0	0	0
1.424968	0.01286771	-0.7975628	0	0	0	0	0	0
1.44148	0.01286771	-0.7975628	0	0	0	0	0	0
1.457996	0.01286771	-0.7975628	0	0	0	0	0	0
1.47451	0.01286771	-0.7975628	0	0	0	0	0	0
1.490992	0.01286771	-0.7975628	0	0	0	0	0	0
1.50756	0.01286771	-0.7975628	0	0	0	0	0	0
1.52413	0.01286771	-0.7975628	0	0	0	0	0	0
1.540691	0.01286771	-0.7975628	0	0	0	0	0	0
1.557257	0.01286771	-0.7975628	0	0	0	0	0	0
1.574087	0.01286771	-0.7975628	0	0	0	0	0	0
1.590591	0.01286771	-0.7975628	0	0	0	0	0	0
1.606957	0.01286771	-0.7975628	0	0	0	0	0	0
1.623614	0.01286771	-0.7975628	0	0	0	0	0	0
1.640132	0.01286771	-0.7975628	0	0	0	0	0	0
1.656658	0.01286771	-0.7975628	0	0	0	0	0	0
1.673224	0.01286771	-0.7975628	0	0	0	0	0	0
1.697471	0.01286771	-0.7975628	0	0	0	0	0	0
1.714173	0.01286771	-0.7975628	0	0	0	0	0	0
1.730693	0.01286771	-0.7975628	0	0	0	0	0	0
1.747202	0.01286771	-0.7975628	0	0	0	0	0	0
1.76374	0.01286771	-0.7975628	0	0	0	0	0	0
